unit,asof,mode,status
t2-EXAMPLE-ust-curve-1m,2024-06-28,blind,pass
t2-EXAMPLE-ust-curve-1m,2024-06-28,text,pass
t2-F1-ai-mom-2024,2024-05-31,blind,pass
t2-F1-ai-mom-2024,2024-05-31,text,pass
t2-F1-aud-on-hold-2016,2016-11-01,blind,pass
t2-F1-aud-on-hold-2016,2016-11-01,text,pass
t2-F1-cad-boc-2017,2017-07-12,blind,pass
t2-F1-cad-boc-2017,2017-07-12,text,pass
t2-F1-chf-highly-valued-2021,2021-06-17,blind,pass
t2-F1-chf-highly-valued-2021,2021-06-17,text,pass
t2-F1-conflicting-texts-2024,2024-06-12,blind,pass
t2-F1-conflicting-texts-2024,2024-06-12,text,pass
t2-F1-considerable-period-2003,2003-08-12,blind,pass
t2-F1-considerable-period-2003,2003-08-12,text,pass
t2-F1-conundrum-2005,2005-02-18,blind,pass
t2-F1-conundrum-2005,2005-02-18,text,pass
t2-F1-cpi-glidepath-2023,2023-07-12,blind,pass
t2-F1-cpi-glidepath-2023,2023-07-12,text,pass
t2-F1-dkk-peg-2019,2019-03-01,blind,pass
t2-F1-dkk-peg-2019,2019-03-01,text,pass
t2-F1-eur-range-2017,2017-09-07,blind,pass
t2-F1-eur-range-2017,2017-09-07,text,pass
t2-F1-fed-put-2019,2019-06-04,blind,pass
t2-F1-fed-put-2019,2019-06-04,text,pass
t2-F1-greater-confidence-2024,2024-01-31,blind,pass
t2-F1-greater-confidence-2024,2024-01-31,text,pass
t2-F1-hawkish-cut-2024,2024-12-18,blind,pass
t2-F1-hawkish-cut-2024,2024-12-18,text,pass
t2-F1-jpy-ycc-flex-2018,2018-07-31,blind,pass
t2-F1-jpy-ycc-flex-2018,2018-07-31,text,pass
t2-F1-liftoff-telegraph-2015,2015-10-28,blind,pass
t2-F1-liftoff-telegraph-2015,2015-10-28,text,pass
t2-F1-measured-pace-2004,2004-06-30,blind,pass
t2-F1-measured-pace-2004,2004-06-30,text,pass
t2-F1-normalization-2017,2017-06-14,blind,pass
t2-F1-normalization-2017,2017-06-14,text,pass
t2-F1-patient-dropped-2015,2015-03-18,blind,pass
t2-F1-patient-dropped-2015,2015-03-18,text,pass
t2-F1-pause-2006,2006-08-08,blind,pass
t2-F1-pause-2006,2006-08-08,text,pass
t2-F1-qe3-end-2014,2014-10-29,blind,pass
t2-F1-qe3-end-2014,2014-10-29,text,pass
t2-F1-sahm-watch-2024,2024-08-02,blind,pass
t2-F1-sahm-watch-2024,2024-08-02,text,pass
t2-F1-third-cut-2019,2019-10-30,blind,pass
t2-F1-third-cut-2019,2019-10-30,text,pass
t2-F1-ust-positioning-2018,2018-09-28,blind,pass
t2-F1-ust-positioning-2018,2018-09-28,text,pass
t2-F2-abenomics-2012,2012-11-30,blind,pass
t2-F2-abenomics-2012,2012-11-30,text,pass
t2-F2-act-as-appropriate-2019,2019-06-19,blind,pass
t2-F2-act-as-appropriate-2019,2019-06-19,text,pass
t2-F2-aud-taper-2013,2013-05-24,blind,pass
t2-F2-aud-taper-2013,2013-05-24,text,pass
t2-F2-boj-thin-signal-2014,2014-10-24,blind,pass
t2-F2-boj-thin-signal-2014,2014-10-24,text,pass
t2-F2-cnh-stress-2015,2015-07-31,blind,pass
t2-F2-cnh-stress-2015,2015-07-31,text,pass
t2-F2-cnh-tradewar-2018,2018-06-15,blind,pass
t2-F2-cnh-tradewar-2018,2018-06-15,text,pass
t2-F2-considerable-removal-2004,2004-01-30,blind,pass
t2-F2-considerable-removal-2004,2004-01-30,text,pass
t2-F2-credit-crunch-2007,2007-08-17,blind,pass
t2-F2-credit-crunch-2007,2007-08-17,text,pass
t2-F2-cut-sizing-2024,2024-09-06,blind,pass
t2-F2-cut-sizing-2024,2024-09-06,text,pass
t2-F2-draghi-precommit-2014,2014-05-30,blind,pass
